Cenário 3: Nesse teste, o robô preencherá todos os dados NÃO obrigatórios e salvará o cadastro de uma nova Religião, com a finalidade de validar o disparo de mensagens no sistema. | Arquivo=cadastrodereligiao3ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0149 | Sev=MEDIUM | Início=26/09/2025 13:40:05 | Erro=alizada com sucesso.
Cenário 2: Nesse teste, o robô preencherá todos os campos e cancelará o cadastro de uma nova Sala. | Arquivo=cadastrodesalas2ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0151 | Sev=MEDIUM | Início=26/09/2025 13:41:05 | Erro=Preenchendo Tempo de Intervalo...
Cenário 3: Nesse teste, o robô preencherá APENAS os dados obrigatórios e salvará o cadastro de uma nova Sala. | Arquivo=cadastrodesalas3ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0152 | Sev=MEDIUM | Início=26/09/2025 13:41:40 | Erro=Preenchendo Tempo de Intervalo...
Cenário 3: Nesse teste, o robô preencherá todos os dados NÃO obrigatórios e salvará o cadastro de um novo Subgrupo, com a finalidade de validar o disparo de mensagens no sistema. | Arquivo=cadastrodesubgrupos3ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0156 | Sev=MEDIUM | Início=26/09/2025 13:43:33 | Erro=alizada com sucesso.
Cenário 1: Nesse teste, o robô preencherá todos os campos e salvará o cadastro de um novo Tipo de Mensalidade. | Arquivo=cadastrodetipodemensalidades1ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0161 | Sev=MEDIUM | Início=26/09/2025 13:47:33 | Erro=mações Financeiras...
Cenário 2: Nesse teste, o robô preencherá todos os campos e cancelará o cadastro de um novo Tipo de Mensalidade. | Arquivo=cadastrodetipodemensalidades2ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0162 | Sev=MEDIUM | Início=26/09/2025 13:48:28 | Erro=mações Financeiras...
Cenário 4: Nesse teste, o robô preencherá todos os dados NÃO obrigatórios e salvará o cadastro de um novo Tipo de Mensalidade, com a finalidade de validar o disparo de mensagens no sistema. | Arquivo=cadastrodetipodemensalidades4ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0164 | Sev=MEDIUM | Início=26/09/2025 13:50:15 | Erro=mações Financeiras...
Cenário 3: Nesse teste, o robô preencherá todos os dados NÃO obrigatórios e salvará o cadastro de um novo Tipo de Documento, com a finalidade de validar o disparo de mensagens no sistema. | Arquivo=cadastrodetiposdedocumento3ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0171 | Sev=MEDIUM | Início=26/09/2025 13:53:53 | Erro=alizada com sucesso.
Cenário 1: Nesse teste, serão preenchidos todos os campos do cadastro, e clicará em 'Salvar'. | Arquivo=cadastrodecemiterios1ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0197 | Sev=MEDIUM | Início=26/09/2025 14:16:41 | Erro=cionar Status Ativo concluída.
Cenário 2: Nesse teste, serão preenchidos todos os campos do cadastro, e clicará em "Cancelar". | Arquivo=cadastrodecemiterios2ºcenario.py | Tipo=CADASTRO | ID=CADASTRO_0198 | Sev=MEDIUM | Início=26/09/2025 14:18:00 | Erro=cionar Status Ativo concluída.
